Realization	utility	week	infra.
0	0	261	6
0	0	1148	8
1	0	261	6
1	0	887	8
2	0	261	6
2	0	939	8
3	0	261	6
3	0	1095	8
4	0	261	6
4	0	1043	8
5	0	261	6
5	0	1043	8
6	0	261	6
6	0	1461	8
7	0	261	6
7	0	834	8
8	0	261	6
8	0	1565	8
9	0	261	6
9	0	991	8
10	0	261	6
10	0	678	8
11	0	261	6
11	0	1513	8
12	0	261	6
12	0	834	8
13	0	261	6
13	0	834	8
14	0	261	6
14	0	782	8
15	0	261	6
15	0	1513	8
16	0	261	6
16	0	1304	8
17	0	261	6
17	0	1095	8
18	0	261	6
18	0	678	8
19	0	261	6
19	0	1200	8
20	0	261	6
20	0	1408	8
21	0	261	6
21	0	1095	8
22	0	261	6
22	0	782	8
23	0	261	6
23	0	1408	8
24	0	261	6
24	0	1356	8
25	0	261	6
25	0	939	8
26	0	261	6
26	0	1095	8
27	0	261	6
27	0	834	8
28	0	261	6
28	0	1513	8
29	0	261	6
29	0	1304	8
30	0	261	6
30	0	782	8
31	0	261	6
31	0	834	8
32	0	261	6
32	0	678	8
33	0	261	6
33	0	887	8
34	0	261	6
34	0	678	8
35	0	261	6
35	0	1043	8
36	0	261	6
36	0	1148	8
37	0	261	6
37	0	678	8
38	0	261	6
38	0	939	8
39	0	261	6
39	0	991	8
40	0	261	6
40	0	730	8
41	0	261	6
41	0	1461	8
42	0	261	6
42	0	991	8
43	0	261	6
43	0	678	8
44	0	261	6
44	0	939	8
45	0	261	6
45	0	1304	8
46	0	261	6
46	0	730	8
47	0	261	6
47	0	782	8
48	0	261	6
48	0	834	8
49	0	261	6
49	0	887	8
50	0	261	6
50	0	678	8
51	0	261	6
51	0	782	8
52	0	261	6
52	0	1356	8
53	0	261	6
53	0	1461	8
54	0	261	6
54	0	782	8
55	0	261	6
55	0	887	8
56	0	261	6
56	0	678	8
57	0	261	6
57	0	1148	8
58	0	261	6
58	0	887	8
59	0	261	6
59	0	678	8
60	0	261	6
60	0	1252	8
61	0	261	6
61	0	782	8
62	0	261	6
62	0	782	8
63	0	261	6
63	0	1356	8
64	0	261	6
64	0	1148	8
65	0	261	6
65	0	1043	8
66	0	261	6
66	0	1356	8
67	0	261	6
67	0	782	8
68	0	261	6
68	0	782	8
69	0	261	6
69	0	1200	8
70	0	261	6
70	0	782	8
71	0	261	6
71	0	834	8
72	0	261	6
72	0	1148	8
73	0	261	6
73	0	834	8
74	0	261	6
74	0	834	8
75	0	261	6
75	0	730	8
76	0	261	6
76	0	887	8
77	0	261	6
77	0	1043	8
78	0	261	6
78	0	1252	8
79	0	261	6
79	0	1461	8
80	0	261	6
80	0	887	8
81	0	261	6
81	0	939	8
82	0	261	6
82	0	1513	8
83	0	261	6
83	0	834	8
84	0	261	6
84	0	939	8
85	0	261	6
85	0	1252	8
86	0	261	6
86	0	1200	8
87	0	261	6
87	0	1095	8
88	0	261	6
88	0	1043	8
89	0	261	6
89	0	991	8
90	0	261	6
90	0	1304	8
91	0	261	6
91	0	678	8
92	0	261	6
92	0	1043	8
93	0	261	6
93	0	782	8
94	0	261	6
94	0	1148	8
95	0	261	6
95	0	939	8
96	0	261	6
96	0	1304	8
97	0	261	6
97	0	939	8
98	0	261	6
98	0	1148	8
99	0	261	6
99	0	939	8
100	0	261	6
100	0	730	8
101	0	261	6
101	0	782	8
102	0	261	6
102	0	730	8
103	0	261	6
103	0	782	8
104	0	261	6
104	0	1148	8
105	0	261	6
105	0	1408	8
106	0	261	6
106	0	1200	8
107	0	261	6
107	0	1408	8
108	0	261	6
108	0	678	8
109	0	261	6
109	0	782	8
110	0	261	6
110	0	782	8
111	0	261	6
111	0	1252	8
112	0	261	6
112	0	1043	8
113	0	261	6
113	0	678	8
114	0	261	6
114	0	1408	8
115	0	261	6
115	0	730	8
116	0	261	6
116	0	1304	8
117	0	261	6
117	0	991	8
118	0	261	6
118	0	678	8
119	0	261	6
119	0	1043	8
120	0	261	6
120	0	1148	8
121	0	261	6
121	0	1095	8
122	0	261	6
122	0	1043	8
123	0	261	6
123	0	887	8
124	0	261	6
124	0	1356	8
125	0	261	6
125	0	1408	8
126	0	261	6
126	0	1252	8
127	0	261	6
127	0	730	8
128	0	261	6
128	0	1408	8
129	0	261	6
129	0	1095	8
130	0	261	6
130	0	1461	8
131	0	261	6
131	0	678	8
132	0	261	6
132	0	1200	8
133	0	261	6
133	0	834	8
134	0	261	6
134	0	782	8
135	0	261	6
135	0	1043	8
136	0	261	6
136	0	782	8
137	0	261	6
137	0	782	8
138	0	261	6
138	0	1565	8
139	0	261	6
139	0	678	8
140	0	261	6
140	0	834	8
141	0	261	6
141	0	1200	8
142	0	261	6
142	0	782	8
143	0	261	6
143	0	730	8
144	0	261	6
144	0	730	8
145	0	261	6
145	0	782	8
146	0	261	6
146	0	834	8
147	0	261	6
147	0	1200	8
148	0	261	6
148	0	1252	8
149	0	261	6
149	0	834	8
150	0	261	6
150	0	730	8
151	0	261	6
151	0	939	8
152	0	261	6
152	0	678	8
153	0	261	6
153	0	834	8
154	0	261	6
154	0	1095	8
155	0	261	6
155	0	678	8
156	0	261	6
156	0	1461	8
157	0	261	6
157	0	1252	8
158	0	261	6
158	0	1356	8
159	0	261	6
159	0	730	8
160	0	261	6
160	0	834	8
161	0	261	6
161	0	678	8
162	0	261	6
162	0	782	8
163	0	261	6
163	0	834	8
164	0	261	6
164	0	678	8
165	0	261	6
165	0	1513	8
166	0	261	6
166	0	887	8
167	0	261	6
167	0	782	8
168	0	261	6
168	0	1565	8
169	0	261	6
169	0	1148	8
170	0	261	6
170	0	782	8
171	0	261	6
171	0	730	8
172	0	261	6
172	0	730	8
173	0	261	6
173	0	782	8
174	0	261	6
174	0	1252	8
175	0	261	6
175	0	1200	8
176	0	261	6
176	0	1043	8
177	0	261	6
177	0	1408	8
178	0	261	6
178	0	834	8
179	0	261	6
179	0	678	8
180	0	261	6
180	0	834	8
181	0	261	6
181	0	1408	8
182	0	261	6
182	0	887	8
183	0	261	6
183	0	887	8
184	0	261	6
184	0	939	8
185	0	261	6
185	0	1148	8
186	0	261	6
186	0	834	8
187	0	261	6
187	0	1095	8
188	0	261	6
188	0	939	8
189	0	261	6
189	0	678	8
190	0	261	6
190	0	834	8
191	0	261	6
191	0	834	8
192	0	261	6
192	0	730	8
193	0	261	6
193	0	730	8
194	0	261	6
194	0	730	8
195	0	261	6
195	0	991	8
196	0	261	6
196	0	887	8
197	0	261	6
197	0	730	8
198	0	261	6
198	0	939	8
199	0	261	6
199	0	834	8
200	0	261	6
200	0	678	8
201	0	261	6
201	0	1148	8
202	0	261	6
202	0	782	8
203	0	261	6
203	0	834	8
204	0	261	6
204	0	834	8
205	0	261	6
205	0	782	8
206	0	261	6
206	0	1200	8
207	0	261	6
207	0	678	8
208	0	261	6
208	0	834	8
209	0	261	6
209	0	1356	8
210	0	261	6
210	0	782	8
211	0	261	6
211	0	939	8
212	0	261	6
212	0	782	8
213	0	261	6
213	0	730	8
214	0	261	6
214	0	782	8
215	0	261	6
215	0	782	8
216	0	261	6
216	0	1408	8
217	0	261	6
217	0	782	8
218	0	261	6
218	0	1565	8
219	0	261	6
219	0	730	8
220	0	261	6
220	0	1043	8
221	0	261	6
221	0	939	8
222	0	261	6
222	0	1043	8
223	0	261	6
223	0	1252	8
224	0	261	6
224	0	1408	8
225	0	261	6
225	0	1513	8
226	0	261	6
226	0	678	8
227	0	261	6
227	0	991	8
228	0	261	6
228	0	1200	8
229	0	261	6
229	0	887	8
230	0	261	6
230	0	678	8
231	0	261	6
231	0	678	8
232	0	261	6
232	0	1252	8
233	0	261	6
233	0	678	8
234	0	261	6
234	0	887	8
235	0	261	6
235	0	1095	8
236	0	261	6
236	0	730	8
237	0	261	6
237	0	678	8
238	0	261	6
238	0	1356	8
239	0	261	6
239	0	730	8
240	0	261	6
240	0	991	8
241	0	261	6
241	0	678	8
242	0	261	6
242	0	834	8
243	0	261	6
243	0	782	8
244	0	261	6
244	0	887	8
245	0	261	6
245	0	939	8
246	0	261	6
246	0	887	8
247	0	261	6
247	0	834	8
248	0	261	6
248	0	782	8
249	0	261	6
249	0	1043	8
250	0	261	6
250	0	887	8
251	0	261	6
251	0	678	8
252	0	261	6
252	0	991	8
253	0	261	6
253	0	730	8
254	0	261	6
254	0	678	8
255	0	261	6
255	0	782	8
256	0	261	6
256	0	1461	8
257	0	261	6
257	0	1461	8
258	0	261	6
258	0	782	8
259	0	261	6
259	0	782	8
260	0	261	6
260	0	730	8
261	0	261	6
261	0	887	8
262	0	261	6
262	0	678	8
263	0	261	6
263	0	782	8
264	0	261	6
264	0	1043	8
265	0	261	6
265	0	1148	8
266	0	261	6
266	0	1043	8
267	0	261	6
267	0	678	8
268	0	261	6
268	0	1043	8
269	0	261	6
269	0	730	8
270	0	261	6
270	0	1095	8
271	0	261	6
271	0	991	8
272	0	261	6
272	0	1565	8
273	0	261	6
273	0	782	8
274	0	261	6
274	0	991	8
275	0	261	6
275	0	730	8
276	0	261	6
276	0	1095	8
277	0	261	6
277	0	834	8
278	0	261	6
278	0	1304	8
279	0	261	6
279	0	1356	8
280	0	261	6
280	0	991	8
281	0	261	6
281	0	834	8
282	0	261	6
282	0	730	8
283	0	261	6
283	0	782	8
284	0	261	6
284	0	939	8
285	0	261	6
285	0	1513	8
286	0	261	6
286	0	730	8
287	0	261	6
287	0	730	8
288	0	261	6
288	0	782	8
289	0	261	6
289	0	730	8
290	0	261	6
290	0	782	8
291	0	261	6
291	0	1095	8
292	0	261	6
292	0	991	8
293	0	261	6
293	0	730	8
294	0	261	6
294	0	991	8
295	0	261	6
295	0	887	8
296	0	261	6
296	0	991	8
297	0	261	6
297	0	678	8
298	0	261	6
298	0	1408	8
299	0	261	6
299	0	730	8
300	0	261	6
300	0	678	8
301	0	261	6
301	0	939	8
302	0	261	6
302	0	730	8
303	0	261	6
303	0	782	8
304	0	261	6
304	0	730	8
305	0	261	6
305	0	730	8
306	0	261	6
306	0	1148	8
307	0	261	6
307	0	730	8
308	0	261	6
308	0	939	8
309	0	261	6
309	0	678	8
310	0	261	6
310	0	887	8
311	0	261	6
311	0	782	8
312	0	261	6
312	0	1461	8
313	0	261	6
313	0	1095	8
314	0	261	6
314	0	1356	8
315	0	261	6
315	0	834	8
316	0	261	6
316	0	678	8
317	0	261	6
317	0	939	8
318	0	261	6
318	0	1148	8
319	0	261	6
319	0	730	8
320	0	261	6
320	0	678	8
321	0	261	6
321	0	730	8
322	0	261	6
322	0	782	8
323	0	261	6
323	0	730	8
324	0	261	6
324	0	939	8
325	0	261	6
325	0	887	8
326	0	261	6
326	0	730	8
327	0	261	6
327	0	1095	8
328	0	261	6
328	0	1095	8
329	0	261	6
329	0	678	8
330	0	261	6
330	0	730	8
331	0	261	6
331	0	1513	8
332	0	261	6
332	0	678	8
333	0	261	6
333	0	730	8
334	0	261	6
334	0	782	8
335	0	261	6
335	0	678	8
336	0	261	6
336	0	730	8
337	0	261	6
337	0	991	8
338	0	261	6
338	0	991	8
339	0	261	6
339	0	782	8
340	0	261	6
340	0	1304	8
341	0	261	6
341	0	1200	8
342	0	261	6
342	0	678	8
343	0	261	6
343	0	678	8
344	0	261	6
344	0	678	8
345	0	261	6
345	0	730	8
346	0	261	6
346	0	678	8
347	0	261	6
347	0	678	8
348	0	261	6
348	0	730	8
349	0	261	6
349	0	730	8
350	0	261	6
350	0	782	8
351	0	261	6
351	0	834	8
352	0	261	6
352	0	1356	8
353	0	261	6
353	0	991	8
354	0	261	6
354	0	991	8
355	0	261	6
355	0	887	8
356	0	261	6
356	0	1095	8
357	0	261	6
357	0	730	8
358	0	261	6
358	0	730	8
359	0	261	6
359	0	1200	8
360	0	261	6
360	0	730	8
361	0	261	6
361	0	782	8
362	0	261	6
362	0	887	8
363	0	261	6
363	0	678	8
364	0	261	6
364	0	887	8
365	0	261	6
365	0	782	8
366	0	261	6
366	0	834	8
367	0	261	6
367	0	1252	8
368	0	261	6
368	0	730	8
369	0	261	6
369	0	1252	8
370	0	261	6
370	0	730	8
371	0	261	6
371	0	991	8
372	0	261	6
372	0	730	8
373	0	261	6
373	0	678	8
374	0	261	6
374	0	1043	8
375	0	261	6
375	0	887	8
376	0	261	6
376	0	834	8
377	0	261	6
377	0	730	8
378	0	261	6
378	0	1356	8
379	0	261	6
379	0	1043	8
380	0	261	6
380	0	834	8
381	0	261	6
381	0	1461	8
382	0	261	6
382	0	834	8
383	0	261	6
383	0	1095	8
384	0	261	6
384	0	1095	8
385	0	261	6
385	0	834	8
386	0	261	6
386	0	887	8
387	0	261	6
387	0	730	8
388	0	261	6
388	0	782	8
389	0	261	6
389	0	834	8
390	0	261	6
390	0	730	8
391	0	261	6
391	0	1461	8
392	0	261	6
392	0	1148	8
393	0	261	6
393	0	1148	8
394	0	261	6
394	0	1043	8
395	0	261	6
395	0	1461	8
396	0	261	6
396	0	834	8
397	0	261	6
397	0	1304	8
398	0	261	6
398	0	730	8
399	0	261	6
399	0	1304	8
400	0	261	6
400	0	991	8
401	0	261	6
401	0	887	8
402	0	261	6
402	0	1148	8
403	0	261	6
403	0	730	8
404	0	261	6
404	0	678	8
405	0	261	6
405	0	887	8
406	0	261	6
406	0	1148	8
407	0	261	6
407	0	678	8
408	0	261	6
408	0	730	8
409	0	261	6
409	0	887	8
410	0	261	6
410	0	834	8
411	0	261	6
411	0	834	8
412	0	261	6
412	0	939	8
413	0	261	6
413	0	1565	8
414	0	261	6
414	0	834	8
415	0	261	6
415	0	887	8
416	0	261	6
416	0	991	8
417	0	261	6
417	0	782	8
418	0	261	6
418	0	834	8
419	0	261	6
419	0	1304	8
420	0	261	6
420	0	887	8
421	0	261	6
421	0	782	8
422	0	261	6
422	0	887	8
423	0	261	6
423	0	1252	8
424	0	261	6
424	0	834	8
425	0	261	6
425	0	991	8
426	0	261	6
426	0	887	8
427	0	261	6
427	0	1408	8
428	0	261	6
428	0	730	8
429	0	261	6
429	0	991	8
430	0	261	6
430	0	1148	8
431	0	261	6
431	0	1356	8
432	0	261	6
432	0	1461	8
433	0	261	6
433	0	730	8
434	0	261	6
434	0	991	8
435	0	261	6
435	0	887	8
436	0	261	6
436	0	991	8
437	0	261	6
437	0	730	8
438	0	261	6
438	0	678	8
439	0	261	6
439	0	1200	8
440	0	261	6
440	0	887	8
441	0	261	6
441	0	1200	8
442	0	261	6
442	0	782	8
443	0	261	6
443	0	678	8
444	0	261	6
444	0	678	8
445	0	261	6
445	0	782	8
446	0	261	6
446	0	1252	8
447	0	261	6
447	0	939	8
448	0	261	6
448	0	782	8
449	0	261	6
449	0	939	8
450	0	261	6
450	0	1356	8
451	0	261	6
451	0	730	8
452	0	261	6
452	0	782	8
453	0	261	6
453	0	782	8
454	0	261	6
454	0	1252	8
455	0	261	6
455	0	730	8
456	0	261	6
456	0	1200	8
457	0	261	6
457	0	1408	8
458	0	261	6
458	0	939	8
459	0	261	6
459	0	887	8
460	0	261	6
460	0	782	8
461	0	261	6
461	0	678	8
462	0	261	6
462	0	782	8
463	0	261	6
463	0	1095	8
464	0	261	6
464	0	730	8
465	0	261	6
465	0	939	8
466	0	261	6
466	0	782	8
467	0	261	6
467	0	1200	8
468	0	261	6
468	0	939	8
469	0	261	6
469	0	730	8
470	0	261	6
470	0	1148	8
471	0	261	6
471	0	678	8
472	0	261	6
472	0	730	8
473	0	261	6
473	0	1304	8
474	0	261	6
474	0	887	8
475	0	261	6
475	0	1148	8
476	0	261	6
476	0	834	8
477	0	261	6
477	0	1304	8
478	0	261	6
478	0	730	8
479	0	261	6
479	0	730	8
480	0	261	6
480	0	1356	8
481	0	261	6
481	0	782	8
482	0	261	6
482	0	834	8
483	0	261	6
483	0	1095	8
484	0	261	6
484	0	939	8
485	0	261	6
485	0	1043	8
486	0	261	6
486	0	834	8
487	0	261	6
487	0	887	8
488	0	261	6
488	0	1461	8
489	0	261	6
489	0	834	8
490	0	261	6
490	0	678	8
491	0	261	6
491	0	782	8
492	0	261	6
492	0	887	8
493	0	261	6
493	0	1043	8
494	0	261	6
494	0	678	8
495	0	261	6
495	0	730	8
496	0	261	6
496	0	834	8
497	0	261	6
497	0	1408	8
498	0	261	6
498	0	678	8
499	0	261	6
499	0	939	8
500	0	261	6
500	0	1252	8
501	0	261	6
501	0	730	8
502	0	261	6
502	0	939	8
503	0	261	6
503	0	1356	8
504	0	261	6
504	0	991	8
505	0	261	6
505	0	1356	8
506	0	261	6
506	0	730	8
507	0	261	6
507	0	782	8
508	0	261	6
508	0	678	8
509	0	261	6
509	0	1200	8
510	0	261	6
510	0	1200	8
511	0	261	6
511	0	1095	8
512	0	261	6
512	0	678	8
513	0	261	6
513	0	991	8
514	0	261	6
514	0	1304	8
515	0	261	6
515	0	678	8
516	0	261	6
516	0	887	8
517	0	261	6
517	0	678	8
518	0	261	6
518	0	782	8
519	0	261	6
519	0	939	8
520	0	261	6
520	0	1304	8
521	0	261	6
521	0	730	8
522	0	261	6
522	0	1356	8
523	0	261	6
523	0	782	8
524	0	261	6
524	0	1408	8
525	0	261	6
525	0	730	8
526	0	261	6
526	0	834	8
527	0	261	6
527	0	678	8
528	0	261	6
528	0	834	8
529	0	261	6
529	0	730	8
530	0	261	6
530	0	678	8
531	0	261	6
531	0	1565	8
532	0	261	6
532	0	782	8
533	0	261	6
533	0	939	8
534	0	261	6
534	0	1043	8
535	0	261	6
535	0	1356	8
536	0	261	6
536	0	991	8
537	0	261	6
537	0	887	8
538	0	261	6
538	0	730	8
